date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,0.449724,0.975817,-1.069156,0.127443,0.127443,0.042427,0.144251,-0.106916,-0.836232,-1.740178,-2.503748,0,104.87487986331114
2017-01-04,0.500764,0.704464,-0.186726,-0.025456,-0.025456,0.0,0.184179,-0.043569,-0.617043,-1.466644,-2.235048,0,104.84818282134339
2017-01-05,0.588185,0.997357,-0.502941,-0.432864,-0.432864,0.332452,0.565169,0.384736,0.008951,-0.766516,-1.607422,0,104.39433310789164
2017-01-06,0.522081,0.633345,-0.393701,-0.400648,-0.400648,0.568299,0.878124,0.838754,0.513951,-0.18658,-1.034178,0,103.9760794503969
2017-01-09,0.388467,0.448895,-0.63018,-0.855871,-0.855871,1.115331,1.496029,1.639618,1.410566,0.763122,-0.040573,-1,103.08617805147189
2017-01-10,0.521921,1.243911,-0.060891,-0.759669,-0.759669,1.386569,1.97199,2.23672,2.149878,1.602644,0.839422,-1,102.30306482041789
2017-01-11,-0.67282,0.448547,-0.922971,0.843772,0.843772,0.212197,0.921246,1.282383,1.24256,0.844993,0.151816,1,103.16626917737514
2017-01-12,0.2927,0.714532,-0.645661,0.198396,0.198396,-0.184229,0.570764,0.979109,0.987862,0.762397,0.149219,0,103.37094649912788
2017-01-13,-0.446812,0.429627,-0.661626,0.189394,0.189394,-0.451968,0.256917,0.700579,0.815003,0.638598,0.097955,0,103.56672480689139
2017-01-17,0.103199,0.421397,-0.146199,-0.085925,-0.085925,-0.290678,0.221018,0.644422,0.868593,0.76333,0.269751,0,103.4777346669989
2017-01-18,-0.224254,0.086252,-0.465758,-0.292398,-0.292398,0.170778,0.350181,0.796964,1.072106,1.063309,0.648324,0,103.17516819136439
2017-01-19,0.268212,0.328777,-0.250908,-0.310505,-0.310505,0.422218,0.468939,0.958643,1.29737,1.323758,1.029013,0,102.85480368775139
2017-01-20,0.622837,0.99481,-0.224913,0.017304,0.017304,0.307958,0.303633,0.807958,1.178201,1.243253,1.093426,0,102.87260171572989
2017-01-23,-0.233989,0.493977,-0.34665,-0.181661,-0.181661,0.318918,0.360517,0.851027,1.253142,1.407748,1.30485,0,102.68572242195565
2017-01-24,-0.446851,0.635903,-0.653089,0.849294,0.849294,-0.510441,-0.439117,-0.074475,0.297327,0.530377,0.486093,1,103.55782579290215
2017-01-25,-0.290003,0.162061,-0.767656,0.747615,0.747615,-1.026953,-0.983453,-0.850677,-0.497271,-0.244285,-0.218924,1,104.33204000996689
2017-01-26,0.815101,1.089661,-0.0429,-0.588536,-0.588536,-0.27456,-0.344058,-0.336336,0.020163,0.308537,0.35464,-1,103.71800804470864
2017-01-27,-0.228491,0.799719,-0.826083,-2.368082,-2.368082,1.826171,1.864839,1.874799,2.265138,2.595307,2.682427,-1,101.26188018367564
2017-01-30,1.189412,1.770703,-0.983724,-1.731259,-1.731259,2.981578,3.251654,3.370298,3.798515,4.18494,4.368032,-1,99.50877442779338
2017-01-31,0.484957,0.763359,-0.529861,-0.420318,-0.420318,2.514594,3.244724,3.537794,3.951504,4.35815,4.637928,0,99.09052077029864
2017-02-01,0.18018,0.702703,-0.144144,-0.314324,-0.314324,1.713514,3.125225,3.626426,3.970721,4.41982,4.755255,0,98.7790552806749
2017-02-02,-0.926834,0.026736,-1.336779,1.09009,1.09009,-0.156849,1.71286,2.287972,2.59959,3.079583,3.464041,1,99.85583597337414
