date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2017-01-03,1.794872,1.794872,-0.529363,-1.241627,-1.241627,0.855252,0.965261,0.655087,-0.235513,-1.374859,-2.390459,-1,112.85670279201322
2017-01-04,0.515593,1.239085,-0.024948,-0.537634,-0.537634,1.112682,1.386279,1.162578,0.513509,-0.605815,-1.611381,-1,112.2499463253895
2017-01-05,0.81129,0.98876,-0.887349,-1.596674,-1.596674,2.119496,2.684019,2.62937,2.236119,1.185493,0.185947,-1,110.45768107013171
2017-01-06,-0.37203,0.37203,-0.54959,-0.050706,-0.050706,1.491502,2.372537,2.563062,2.299822,1.425213,0.420383,0,110.4016727809049
2017-01-09,0.707467,0.792704,-0.017047,-0.803247,-0.803247,1.443914,2.792363,3.218548,3.083021,2.334195,1.372718,-1,109.51487486814715
2017-01-10,-0.41816,0.460829,-0.622973,-0.119332,-0.119332,0.930193,2.4936,3.090402,3.120413,2.531329,1.618447,0,109.38418885995128
2017-01-11,-0.365491,0.424989,-0.39099,0.401092,0.401092,0.084998,1.716107,2.446239,2.569911,2.204841,1.339784,0,109.8229204588946
2017-01-12,0.428266,0.445396,-0.745182,-0.764981,-0.764981,0.585867,2.043683,2.911064,3.160171,3.012934,2.22669,-1,108.98279612049251
2017-01-13,0.187954,0.683469,-0.299018,0.256959,0.256959,0.119607,1.334472,2.332906,2.753951,2.716788,2.088566,0,109.26283756662653
2017-01-17,-0.383109,0.595948,-0.715137,0.350278,0.350278,-0.206028,0.558488,1.711221,2.270135,2.32692,1.809182,0,109.64556087634303
2017-01-18,-0.388055,0.04218,-1.181036,0.919462,0.919462,-0.885777,-0.556774,0.583207,1.209296,1.372701,0.981533,1,110.65371008242555
2017-01-19,0.779727,0.813628,-0.483092,-0.463978,-0.463978,-0.366133,-0.28477,0.826624,1.521739,1.74625,1.530918,0,110.14030076451314
2017-01-20,0.466023,0.737163,-0.330452,0.025426,0.025426,-0.176241,-0.336384,0.571655,1.308676,1.604813,1.557646,0,110.16830490912655
2017-01-23,0.10166,0.186377,-0.516774,0.016946,0.016946,-0.025415,-0.372755,0.314583,1.099627,1.508641,1.54185,0,110.18697433886884
2017-01-24,1.46354,1.977063,-0.581992,-1.016605,-1.016605,0.895241,0.60938,1.026475,1.912016,2.429305,2.540797,-1,109.06680855433272
2017-01-25,-0.288944,0.832838,-0.288944,0.710373,0.710373,0.035693,-0.058639,0.130874,1.004079,1.573213,1.774454,1,109.84158988863686
2017-01-26,-0.406332,0.253958,-0.406332,0.390924,0.390924,-0.330145,-0.407179,-0.378679,0.447812,1.055109,1.299698,0,110.27098677270902
2017-01-27,0.254022,0.279424,-0.567316,-0.025396,-0.025396,-0.291279,-0.26757,-0.366356,0.304826,0.933785,1.231442,0,110.24298262809563
2017-01-30,0.434006,0.434006,-0.297847,-0.499577,-0.499577,0.119139,0.272317,0.090772,0.605055,1.268318,1.658582,0,109.69223445069872
2017-01-31,-0.20377,0.025471,-0.653761,0.229768,0.229768,0.049244,0.069621,-0.112639,0.177449,0.888776,1.35139,0,109.94427175221934
2017-02-01,0.986786,1.458727,-0.248842,-1.05281,-1.05281,0.919856,0.96276,0.913563,1.05629,1.770722,2.285052,-1,108.78676710819869
2017-02-02,-0.918133,0.153022,-0.918133,0.935301,0.935301,-0.100315,-0.0034,-0.02267,0.008501,0.679759,1.220494,1,109.80425102915231
2017-02-03,0.543386,0.738665,-0.152827,0.127518,0.127518,-0.281881,-0.151129,-0.091696,-0.142214,0.405502,0.959699,0,109.94427175221934
2017-02-06,-1.028299,0.229455,-1.028299,-0.093394,-0.093394,-0.161469,-0.089233,0.036826,-0.07436,0.342313,0.915272,0,109.84158988863686
2017-02-07,0.288723,0.390625,-0.305707,0.076485,0.076485,-0.241168,-0.087466,-0.022645,-0.132048,0.107337,0.714731,0,109.92560232247708
2017-02-08,-0.271624,0.1443,-0.381971,0.042459,0.042459,-0.067906,-0.117987,-0.106386,-0.147695,-0.040065,0.550038,0,109.97227589683274
2017-02-09,-0.749284,0.328338,-0.78296,0.82336,0.82336,-0.690352,-0.878936,-0.877813,-0.915558,-0.905876,-0.360891,1,110.87774323933276
